dataset,variant,n_observations_trained_mean,n_observations_trained_std,n_observations_evaluated_mean,n_observations_evaluated_std,ami_mean,ami_std,ari_mean,ari_std,embedding_davies_bouldin_mean,embedding_davies_bouldin_std,embedding_silhouette_mean,embedding_silhouette_std,fmi_mean,fmi_std,homogeneity_mean,homogeneity_std,hungarian_balanced_accuracy_mean,hungarian_balanced_accuracy_std,hungarian_macro_f1_mean,hungarian_macro_f1_std,hungarian_weighted_f1_mean,hungarian_weighted_f1_std,nmi_mean,nmi_std,silhouette_sample_size_mean,silhouette_sample_size_std,spatial_cluster_moran_mean_mean,spatial_cluster_moran_mean_std,spatial_neighbor_agreement_mean,spatial_neighbor_agreement_std,v_measure_mean,v_measure_std,clustering_seconds_mean,clustering_seconds_std,evaluation_seconds_mean,evaluation_seconds_std,preprocessing_seconds_mean,preprocessing_seconds_std,total_seconds_mean,total_seconds_std,training_seconds_mean,training_seconds_std,gpu_peak_allocated_mib_mean,gpu_peak_allocated_mib_std,process_peak_rss_mib_mean,process_peak_rss_mib_std
a1,legacy_exact,3484.0,0.0,3484.0,0.0,0.36036024430866315,0.010737790196606974,0.23039374353216485,0.01637667965460265,1.9787740161461205,0.16656518937454895,0.10978081375360489,0.016360053449242597,0.3737308021276182,0.014062192647569204,0.4115871753152982,0.013083851524711173,0.40637425668791566,0.03183883701273866,0.3307086755282317,0.01896154258343535,0.5016530464603944,0.025636480062829328,0.3644418813769974,0.010663648648854017,3484.0,0.0,0.5404048287157996,0.016730075789462825,0.5993302717183314,0.01281355641351866,0.3644418813769974,0.010663648648854015,7.244023207994178,1.3042087768969244,1.0347460320685058,0.09505506633451602,4.985484123183414,0.40470879465800563,19.22407089639455,1.9523932447596934,5.751396914385259,1.1551279069665648,361.24794921875,0.0010006787857439628,4051.7,432.04055153759884
a1,corrected_unweighted,3484.0,0.0,3484.0,0.0,0.3604558454196392,0.013288698425095943,0.2269451952700968,0.021700363286266965,2.1015168288904706,0.10951471970872363,0.11010897010564805,0.013618716042118013,0.3688787643977558,0.020396480753935194,0.4152050715678584,0.0122741917166021,0.38768458445963566,0.04260159853374906,0.3233849055682642,0.02138070182407294,0.49377868877902714,0.02795657295228291,0.364502989666969,0.013232804296696557,3484.0,0.0,0.5432036400016169,0.026333745492325707,0.596530169664498,0.021791838617314874,0.364502989666969,0.013232804296696552,6.4936349697876725,1.060550461619265,0.7347626375500113,0.2026163665770983,6.565297000575811,0.34060313075396004,18.371577285788952,1.2020951915244016,3.889617587160319,0.12892488829193122,417.65986328125,0.3208354495750782,1755.084375,254.91102004475752
a1,abundance_only,3484.0,0.0,3484.0,0.0,0.35944622008435473,0.008717091984677256,0.2125195534760007,0.011145909818803533,2.140231721568205,0.13029831059126007,0.11071412861347199,0.007039685142352052,0.3544269204242442,0.011665436637534724,0.4175163219668505,0.006341493172727156,0.3977274664484697,0.04848689501935504,0.3159241359402992,0.014626068338794833,0.47312990529253784,0.019320550359448758,0.36346735103864913,0.008697002859477655,3484.0,0.0,0.5231657663768013,0.01412728829345918,0.5755198367138665,0.009686238885737932,0.36346735103864913,0.008697002859477682,6.529983316222205,1.1922021218738206,0.8270027404185385,0.2087734037283663,6.566863861866295,0.1860495603272032,18.64917942644097,1.2168126957541499,3.97887427941896,0.21172258757827278,417.65986328125,0.3208354495750782,1771.05546875,254.9076739611083
a1,asr_hvg,3484.0,0.0,3484.0,0.0,0.36398433964074656,0.01605794879863609,0.22829921448778207,0.031202113810181537,2.0550643441183305,0.1395951027004598,0.10689263492822647,0.011878102024818383,0.37243692472410567,0.03270841697931791,0.4148054242050231,0.012432320013754071,0.395591347987427,0.07375123175920247,0.31967416234168355,0.02730038432300479,0.4870414742083321,0.03876057963952614,0.3680488809870726,0.016026468738832924,3484.0,0.0,0.5453544817797,0.026777677038628524,0.6023886975379513,0.026636033047162645,0.3680488809870726,0.01602646873883292,6.043196789175272,0.7964467752220038,0.8355532254092395,0.1639262809523827,6.566095755575224,0.37678930679961453,18.006889279186726,1.0711293088997376,3.892341578938067,0.1737249374735061,417.65986328125,0.3208354495750782,1777.08125,259.38664175210255
a1,asr_rescue,3484.0,0.0,3484.0,0.0,0.35797099296250395,0.011707031497230494,0.21580242847687528,0.01889349605223223,2.050362507794042,0.0842339820363833,0.11530699282884598,0.017575494651512216,0.357613964014665,0.018809404670044983,0.4150138654088325,0.008766391789114526,0.3642313575077039,0.027030386433412792,0.3086760316927878,0.017414132688707677,0.47681530043644776,0.021804518468759387,0.3620073555977263,0.0116793827004736,3484.0,0.0,0.5325841487730382,0.013549139338888353,0.572946166602883,0.018512034360341635,0.36200735559772623,0.011679382700473586,7.76035916460678,2.3499722760054276,0.9786750507075339,0.043446769841850946,7.212558834580705,0.44292842646603725,21.65285946880467,2.847383303750259,4.996181516395882,0.1920563962581289,529.84873046875,0.0032645536426615606,1790.896875,261.54259610264415
placenta,legacy_exact,1662.0,0.0,1662.0,0.0,0.7201707883852707,0.01813709320132599,0.6635269854564889,0.03230497193409307,2.1580524338621268,0.05998571134907943,0.16772364675998688,0.01606660886918623,0.7232987813735947,0.026650128429397978,0.7654344008406289,0.016402494984395864,0.6521746114364875,0.029077612183251306,0.6113532801122933,0.021210561169167197,0.7932671390902044,0.019585248861199757,0.7238140913798963,0.01791986204682025,1662.0,0.0,0.3955289107099599,0.025319328496720944,0.43995186522262336,0.00863999141652895,0.7238140913798963,0.017919862046820206,3.006742718629539,0.326444619542688,0.3102589853573591,0.13111951994280474,6.226156487828121,0.11736958984408467,12.706700672628358,0.4015629093849669,2.8720004928298293,0.270606422907312,197.99560546875,0.0010358009490037316,4869.93359375,213.70086551360677
placenta,corrected_unweighted,1662.0,0.0,1662.0,0.0,0.5226435427591688,0.02985544363212261,0.45063556903425817,0.0414515090961123,3.195493272462344,0.17598869975513026,0.04104006960988045,0.0036295588946747147,0.5428139270357979,0.035373780008872306,0.5571162403071993,0.029413112823512947,0.5253688837580206,0.03019701451663681,0.5020489900890581,0.042470463034236274,0.6620216479562958,0.047200929755825786,0.5288766144672669,0.029492080169625026,1662.0,0.0,0.47114133331449815,0.03238206281355601,0.49133574007220215,0.019629128207910008,0.5288766144672667,0.029492080169625,3.5880837983451785,0.8577860096927383,0.39950702344067396,0.26081393408676634,6.230542824603617,0.6045663313795625,14.27573763714172,1.6846351719913062,3.312311311531812,0.41495925243935977,255.091796875,0.0010358009490037316,2071.09921875,146.30850480469695
placenta,abundance_only,1662.0,0.0,1662.0,0.0,0.5006146111176718,0.020781080198629037,0.41667283218023077,0.02485612799063461,3.3642127775997244,0.12135719073009896,0.03957618027925491,0.002900733318408704,0.5135286663759377,0.021252385473255787,0.5367867433826035,0.021977141772381553,0.5273295681315471,0.02505399689808966,0.5048901544938672,0.019933011043829454,0.6545549405066877,0.021091299153958777,0.5071013255158805,0.020512922419832557,1662.0,0.0,0.4722122838214361,0.031017317249842663,0.4878459687123947,0.0178356644732588,0.5071013255158805,0.020512922419832547,3.1965165028348563,0.18828837343197383,0.41136723360978067,0.05404271202877081,6.22996398373507,0.55400097596434,13.76120624174364,0.7647311208017753,3.1691899437922983,0.18958312286832715,255.091796875,0.0010358009490037316,2170.76953125,157.7718713896569
placenta,asr_hvg,1662.0,0.0,1662.0,0.0,0.5319859065135316,0.014910706776117326,0.4632793243667276,0.027083716288615108,3.2078353403990745,0.1812602166188459,0.0424006886780262,0.005551155212077759,0.5534811306215117,0.022754312276822574,0.5685367279748235,0.015291340043317314,0.5517029969542224,0.01755073985690134,0.5239195058382707,0.02393431540478942,0.6862458725172716,0.023482475599812095,0.5380791049164879,0.014728147542408348,1662.0,0.0,0.456279253650323,0.03796872567207436,0.4824308062575211,0.018527591043568947,0.5380791049164879,0.014728147542408372,3.4025755956303327,0.39642962309542246,0.4365282902028412,0.07823229562041152,6.534587963158264,0.28665867954578744,14.095427038380876,0.4308125784626199,2.9850382477976383,0.2281916468702611,255.091796875,0.0010358009490037316,2176.01484375,156.68239568819243
placenta,asr_rescue,1662.0,0.0,1662.0,0.0,0.44703833429515233,0.019089151688830103,0.34880359194944577,0.016020752054155558,3.6243698715005337,0.11337645392362213,0.0326982531696558,0.0022905786495487526,0.4564058784838558,0.01155024929036336,0.47957995704254436,0.017839521470179972,0.48836835444474885,0.023438063575579402,0.4819471680327408,0.01451014156232661,0.6258230770179004,0.008773874355965817,0.45423345724003594,0.01889439786253699,1662.0,0.0,0.4540593209437964,0.02638463962659264,0.4957882069795428,0.019117105734437118,0.45423345724003583,0.018894397862537004,3.6654187083244323,0.5966414902077591,0.4150617430917919,0.11395884605101375,6.824207769241184,0.28500210509535007,14.88056178856641,0.4681366047410565,3.1598422632552685,0.060030693265399435,306.74609375,0.0009134905729428568,2189.51484375,170.4107183550901
p22,legacy_exact,9196.0,0.0,9196.0,0.0,0.5530633291141747,0.015261804546626574,0.4143790798935747,0.021106263375434652,2.5482098072511286,0.13840073046063608,0.14160839319229127,0.008669764252504578,0.5065957387669936,0.018093730403229084,0.5536492077160096,0.014330313781022586,0.5732789652015166,0.01629920281559011,0.5340384308197207,0.011040807881870321,0.5852267415449741,0.01272689004001793,0.5538463555638435,0.015237174286469682,5000.0,0.0,0.7817218642790611,0.021323650094045778,0.8262043279686819,0.017649184000931427,0.5538463555638435,0.015237174286469698,6.358149926597252,0.6558068774776202,2.036440834123641,0.07771839254209781,14.202387495012953,0.16988314867202076,72.59276451044715,0.9146444463047239,49.754347691778094,0.4941714484726064,723.20810546875,0.004047141754890238,9188.8234375,1602.3558416869728
p22,corrected_unweighted,9196.0,0.0,9196.0,0.0,0.5519285597766095,0.01364273765572032,0.4137635769067427,0.018537849779077024,2.493415304478107,0.1291040296646687,0.145287948846817,0.009209438270016614,0.5064662805197435,0.016123481642388048,0.551936274036829,0.012451299384828484,0.571518950077556,0.016614107256362105,0.5329889446366514,0.011092131888683061,0.5844229069852773,0.012530496898624973,0.5527144114545238,0.013621325396913207,5000.0,0.0,0.7810373404465528,0.021111778065731397,0.8262750108742931,0.01766237422650122,0.5527144114545238,0.013621325396913284,6.34774976503104,0.9239781477927862,1.7762007537297904,0.09138031457869857,16.29395846510306,0.11420194610285458,66.7333904066123,0.8787330071039422,41.65693852510303,0.15333811459167582,763.01748046875,0.0032462441676963005,4834.38125,785.3267965068469
p22,abundance_only,9196.0,0.0,9196.0,0.0,0.5506974052319009,0.013141383191265767,0.40268689068777397,0.0258568632280958,2.4318230687697717,0.1531094089507948,0.14485030770301818,0.00917409072306503,0.500494134832667,0.016745904776920933,0.5469513074191367,0.018276172051575938,0.5679959929653909,0.022433193786913164,0.5266705714157286,0.022364647226383892,0.5680055268206644,0.03374764756270407,0.5514915560027184,0.01311454121960321,5000.0,0.0,0.7816698330620974,0.018916259659814184,0.8327547303175293,0.012448512490172741,0.5514915560027184,0.013114541219603227,6.607054153224453,0.4150646895732732,1.7377651184331626,0.2663524008880498,16.21340520242229,0.299852666265703,67.62375516993924,0.8949372650835126,42.36734806839377,0.4740792734107871,763.01748046875,0.0032462441676963005,4648.71953125,319.65720324730773
p22,asr_hvg,9196.0,0.0,9196.0,0.0,0.5519169629985965,0.013566257548651242,0.4138011656662134,0.018343080374515743,2.494687117658564,0.12846229115701807,0.1451454997062683,0.009225779997112776,0.506467008706762,0.015939917961370766,0.5519751044943411,0.01239048717681137,0.5718374171528728,0.016493669230445433,0.5331010158066306,0.011082407856320226,0.5844749911747338,0.012409776134534676,0.5527027631191043,0.013544961519082913,5000.0,0.0,0.7810277718204828,0.020950374228301448,0.8261350043497172,0.017573903694099346,0.5527027631191043,0.013544961519083033,6.373244895972311,0.2442529019518321,1.7414754534140229,0.1959857939950413,16.45504268524237,0.2832383436023674,66.92852977719159,0.4542588016651036,41.68021119865589,0.21044557601029018,763.01748046875,0.0032462441676963005,4640.5671875,322.94877342774333
