dataset,rank,gene,Q_score,final_weight,A_score,S_score,R_score
a1,1,ITIH3,0.600448584722355,1.600448584722355,0.8942795076031861,0.9248036539854064,0.726027397260274
a1,2,KIF18B,0.5929134991134638,1.5929134991134637,0.9448560129226312,0.9003509162814014,0.696969696969697
a1,3,TMEM72,0.5893783687131052,1.5893783687131051,0.8877067899515402,0.9053640060157075,0.7333333333333333
a1,4,KRTAP4-6,0.5791559485586427,1.5791559485586428,0.859689188436473,0.8809669693087506,0.7647058823529411
a1,5,LCE3C,0.574114985259089,1.574114985259089,0.9069236339330474,0.8765108895449228,0.7222222222222222
a1,6,IL36B,0.568845700411045,1.568845700411045,0.8400824374756308,0.8854787500696263,0.7647058823529411
a1,7,TYRO3,0.564832473513848,1.564832473513848,0.7368684899459701,0.9534896674650476,0.803921568627451
a1,8,TMEM26,0.5631582888277421,1.5631582888277422,0.8730574277279564,0.863699660223918,0.7468354430379747
a1,9,CRLF1,0.5625887445785307,1.5625887445785307,0.730685679273659,0.9532668634768562,0.8076923076923077
a1,10,PRSS51,0.5610944893863326,1.5610944893863326,0.934384225477636,0.8797972483707458,0.6825396825396826
a1,11,TMEM132B,0.5600780203403604,1.5600780203403604,0.8769564975213057,0.8627527432741046,0.7402597402597403
a1,12,CCL1,0.5598222409101171,1.5598222409101172,0.8451512282069849,0.8662062050910712,0.7647058823529411
a1,13,LAMB3,0.5586771353583454,1.5586771353583453,0.833454018826937,0.8565142316047457,0.782608695652174
a1,14,TNNC1,0.5584934570196716,1.5584934570196716,0.7770289088174678,0.8878738929426837,0.8095238095238095
a1,15,CASP14,0.5535564051806341,1.553556405180634,0.7883362112181809,0.8734473347072913,0.803921568627451
a1,16,PTH2,0.5516766758562469,1.551676675856247,0.8038767893945302,0.8769007965242578,0.782608695652174
a1,17,ANKRD62,0.5505329739613566,1.5505329739613565,0.8366846766557121,0.8487160920180471,0.7752808988764045
a1,18,SLC17A4,0.5493528015202499,1.54935280152025,0.7514621511725059,0.8934996936445162,0.8181818181818182
a1,19,MLXIPL,0.5487916270129687,1.548791627012969,0.826881301175291,0.9050298000334206,0.7333333333333333
a1,20,PCDHA12,0.5474337170223684,1.5474337170223684,0.8419205703782098,0.8443157132512672,0.7701149425287356
placenta,1,AC100821.2,0.5103707293134934,1.5103707293134934,0.7568723592926816,0.9879505503103646,0.6825396825396826
placenta,2,EPN3,0.5051808911842187,1.5051808911842186,0.6331959730843462,0.9855510927964112,0.8095238095238095
placenta,3,TRAIP,0.5049566315522381,1.504956631552238,0.7892650357310521,0.9373532940378696,0.6825396825396826
placenta,4,SCAT2,0.5027168174902931,1.5027168174902932,0.7621407333994054,0.9664075948046528,0.6825396825396826
placenta,5,ANGPTL3,0.502229759146677,1.502229759146677,0.805435292890303,0.9798654217307392,0.6363636363636364
placenta,6,AC016644.1,0.4986509058975215,1.4986509058975217,0.775911533044703,0.9415784257472224,0.6825396825396826
placenta,7,ECT2L,0.498566570198806,1.498566570198806,0.7489437170726618,0.9615565176568776,0.6923076923076923
placenta,8,IFNLR1,0.497821348102323,1.497821348102323,0.7872828751760471,0.9741275885451984,0.6491228070175439
placenta,9,HOXB4,0.4972578882282834,1.4972578882282834,0.7270356267278701,0.9420478848260392,0.726027397260274
placenta,10,AC020891.3,0.4968050216998704,1.4968050216998705,0.7134213134421783,0.9926973032184028,0.7014925373134329
