dataset,variant,seed,n_observations_trained,n_observations_evaluated,ami,ari,embedding_davies_bouldin,embedding_silhouette,fmi,homogeneity,hungarian_balanced_accuracy,hungarian_macro_f1,hungarian_weighted_f1,nmi,silhouette_sample_size,spatial_cluster_moran_mean,spatial_neighbor_agreement,v_measure,clustering_seconds,evaluation_seconds,preprocessing_seconds,total_seconds,training_seconds,gpu_peak_allocated_mib,process_peak_rss_mib,source,run_status
a1,legacy_exact,0,3484,3484,0.37388470775051325,0.24148518818845394,2.1295245364295177,0.1017267256975174,0.3834537379970516,0.42724503656575197,0.4102381332647189,0.33190759408144666,0.5082692507471606,0.37787722171999466,3484,0.51207354542038,0.5793628013777268,0.3778772217199947,7.324725369922817,0.9623234521131963,5.208421176066622,21.605709489202127,7.800678760977462,361.2470703125,3387.828125,night1_fdecb33_reference,existing_reference
a1,legacy_exact,1,3484,3484,0.3560042355211571,0.22050670520046095,1.9201760013497011,0.10786187648773193,0.36741563354362483,0.40284359362961564,0.40502478979477774,0.34282821591400153,0.5063879078809002,0.3601506091146875,3484,0.5418780602646487,0.6098673300165838,0.36015060911468755,5.777763520134613,0.9909719340503216,4.489035290898755,16.868628941010684,5.444482450839132,361.2470703125,4006.390625,night1_fdecb33_reference,existing_reference
a1,legacy_exact,2,3484,3484,0.3681785486801345,0.2537587532001565,1.8597428916013734,0.12953288853168488,0.39332914835683436,0.4212630278519639,0.3890542151883437,0.35470237791940495,0.5385831185605785,0.37220233403353986,3484,0.553286836511693,0.6084640898073734,0.37220233403353986,9.247061248170212,0.974583440925926,4.761045641032979,20.49561401992105,5.314668589970097,361.24951171875,4025.21484375,night1_fdecb33_reference,existing_reference
a1,legacy_exact,3,3484,3484,0.3570588660926107,0.21665008101151478,2.1796790076678803,0.08809701353311539,0.3602493106835775,0.41141280749094017,0.45637113533891743,0.31505619917415273,0.4734284226540178,0.36112889071093895,3484,0.5423362365960276,0.5938416889909427,0.36112889071093895,7.406774912960827,1.1929607561323792,5.538305100984871,19.460684549994767,5.083559961058199,361.248046875,4291.953125,night1_fdecb33_reference,existing_reference
a1,legacy_exact,4,3484,3484,0.34667486349890014,0.21956799006023803,1.80474764368213,0.12168556451797485,0.36420618005700284,0.39517141103821957,0.3711830098528202,0.3090489905521526,0.48159653245931516,0.350850351305826,3484,0.552449464786249,0.6051154483990305,0.350850351305826,6.463790988782421,1.0528905771207064,4.930613406933844,17.689717481844127,5.113594809081405,361.248046875,4547.11328125,night1_fdecb33_reference,existing_reference
a1,corrected_unweighted,0,3484,3484,0.3713418922410738,0.24067725290628356,2.1326688203280644,0.10185298323631287,0.38284876743653573,0.4243434397420208,0.4035163653270975,0.3292035249721411,0.5065077443732232,0.37535124108752926,3484,0.5139158838637733,0.5798092868988391,0.37535124108752926,6.8864964039530605,0.8472778080031276,6.780601633014157,19.39063812396489,4.117036910029128,417.0859375,1335.90625,night1_fdecb33_reference,existing_reference
a1,corrected_unweighted,1,3484,3484,0.36497375673834415,0.21864187783649022,2.1543507946258416,0.10988406091928482,0.3613511706146676,0.42129511866103686,0.35042185905535095,0.31246256794662897,0.49322379444205783,0.36898499287336056,3484,0.5246093408824863,0.5793628013777268,0.36898499287336056,5.6831102969590575,1.0347209700848907,6.2100861188955605,17.397148092044517,3.8562575629912317,417.80224609375,1693.24609375,night1_fdecb33_reference,existing_reference
a1,corrected_unweighted,2,3484,3484,0.371953500604231,0.25700391240036313,1.9828065783039264,0.1248982846736908,0.39606672754675293,0.4256353743207322,0.3882919833381925,0.3522439981420758,0.5330263694366827,0.3759525563668314,3484,0.5822527203482489,0.6328294425309351,0.37595255636683145,6.180544879985973,0.5906952978111804,7.015972363995388,18.25390773685649,3.8319511897861958,417.8046875,1868.87109375,night1_fdecb33_reference,existing_reference
a1,corrected_unweighted,3,3484,3484,0.3530629266222803,0.21601697429585615,2.2403635609462067,0.09220613539218903,0.3593968496783727,0.4070687159651055,0.45007351496521275,0.3282460612637692,0.47519025934264286,0.3571539205769786,3484,0.5494232620185662,0.5937938512565378,0.35715392057697853,8.147955612046644,0.5515566449612379,6.551535377977416,19.78207235899754,3.7987590259872377,417.80322265625,1936.69921875,night1_fdecb33_reference,existing_reference
a1,corrected_unweighted,4,3484,3484,0.34094715089226685,0.20238595891149105,1.9973943902483149,0.1217033863067627,0.34473030671245003,0.3976827091503964,0.34611919961232473,0.294768375516706,0.46094527630052917,0.34507223743014503,3484,0.5458169928950101,0.5968554662584513,0.3450722374301451,5.5700676559936255,0.6495624668896198,6.268289508996531,17.03412011708133,3.844083247007802,417.80322265625,1940.69921875,night1_fdecb33_reference,existing_reference
placenta,legacy_exact,0,1662,1662,0.7034324890128305,0.6530677220889807,2.1634853702680656,0.1545107364654541,0.7142185722403767,0.7463867625374669,0.620341464329802,0.5883802373788296,0.7808139245461581,0.7073024601682062,1662,0.43271113188631694,0.45306859205776173,0.7073024601682062,2.674659786047414,0.36559533909894526,6.336257739923894,12.423039586050436,2.731697240844369,197.99560546875,4574.6796875,night1_fdecb33_reference,existing_reference
placenta,legacy_exact,1,1662,1662,0.7478256399507442,0.7201194026501642,2.1289469210036094,0.1540587693452835,0.7699032628665158,0.782969022060498,0.6704233890974652,0.6238450241393809,0.8249576267351832,0.7511639843456898,1662,0.3835569773006126,0.4398315282791817,0.7511639843456898,3.538908696034923,0.3961326729040593,6.316953815985471,13.27865742589347,2.7308232011273503,197.9970703125,4746.1640625,night1_fdecb33_reference,existing_reference
placenta,legacy_exact,2,1662,1662,0.7272810063300025,0.6576105843261613,2.2198582251563908,0.1669599413871765,0.7189022182852408,0.7787338319175567,0.6771379146630873,0.6299300895966838,0.7942618169013788,0.7308053605816894,1662,0.37358367183890534,0.43080625752105894,0.7308053605816893,3.053708930965513,0.08361910097301006,6.164124852977693,12.274338233051822,2.7306278890464455,197.99560546875,4889.46484375,night1_fdecb33_reference,existing_reference
placenta,legacy_exact,3,1662,1662,0.7057807083202478,0.6403649578840368,2.0720176709012033,0.19355739653110504,0.7036987152570423,0.7506093055715721,0.620525980409802,0.5880977039050062,0.7739505378575826,0.7096072903535283,1662,0.41050218403986616,0.44223826714801445,0.7096072903535283,2.888793216086924,0.3122421898879111,6.053654824150726,12.92032862897031,3.3516682910267264,197.994140625,5069.6796875,night1_fdecb33_reference,existing_reference
placenta,legacy_exact,4,1662,1662,0.7165340983125288,0.6464722603331017,2.205953981981364,0.16953139007091522,0.7097711382187978,0.7684730821160505,0.6724443086822812,0.6265133455415658,0.7923517894107192,0.7201913614503674,1662,0.3772905884840983,0.43381468110709986,0.7201913614503677,2.877642964012921,0.39370562392286956,6.259791206102818,12.637139489175752,2.815185842104256,197.99560546875,5069.6796875,night1_fdecb33_reference,existing_reference
placenta,corrected_unweighted,0,1662,1662,0.4877532197446093,0.4138147854392043,3.2265139669962473,0.04099542275071144,0.5109570779706095,0.52330110107485,0.5050442565955223,0.44471830784259636,0.6095893611251524,0.49440319805495,1662,0.5083500788796766,0.5042117930204573,0.49440319805495,4.959782974794507,0.45839013811200857,7.205184116959572,17.24977091792971,3.8011731149163097,255.091796875,1940.69921875,night1_fdecb33_reference,existing_reference
placenta,corrected_unweighted,1,1662,1662,0.5600742989565781,0.5114512620798337,3.3236292979301147,0.04248452186584473,0.5943165008973799,0.5969185909113586,0.5577653326517578,0.560572090663722,0.7308852412774755,0.5658158290796529,1662,0.4237260726707011,0.4590854392298436,0.5658158290796529,2.815254190005362,0.8242293631192297,6.336822903016582,13.506324067013338,2.8812339559663087,255.09326171875,1945.3828125,night1_fdecb33_reference,existing_reference
placenta,corrected_unweighted,2,1662,1662,0.5180703340867607,0.45873344461793203,3.3519095478047314,0.035186782479286194,0.5494922209861276,0.5542883107433214,0.5574180385472404,0.5023784569549995,0.6610635669125854,0.5243418116291204,1662,0.4924119444223578,0.4969915764139591,0.5243418116291204,3.180734716821462,0.15554414503276348,6.112881028093398,13.1985941499006,2.9976594869513065,255.091796875,2016.91015625,night1_fdecb33_reference,existing_reference
