dataset,variant,seed,cross_omics_rna,modality2_spatial,rna_spatial
a1,locked_asr_hvg_legacy_scale_diagnostic,0,0.5320026874542236,0.5025444626808167,0.49916544556617737
a1,locked_asr_hvg_legacy_scale_diagnostic,1,0.5083298087120056,0.5070862174034119,0.4988679885864258
a1,locked_asr_hvg_legacy_scale_diagnostic,2,0.501399576663971,0.505859911441803,0.5003763437271118
a1,locked_asr_hvg_legacy_scale_diagnostic,3,0.5165151953697205,0.5021499395370483,0.4980052709579468
a1,locked_asr_hvg_legacy_scale_diagnostic,4,0.519278347492218,0.5053317546844482,0.5023472309112549
a1,locked_legacy_loss_replay,0,0.5319656729698181,0.50253826379776,0.49929553270339966
a1,locked_legacy_loss_replay,1,0.5080989003181458,0.5070945024490356,0.4989861845970154
a1,locked_legacy_loss_replay,2,0.5014099478721619,0.505867063999176,0.500499427318573
a1,locked_legacy_loss_replay,3,0.516838788986206,0.5021588802337646,0.4980950951576233
a1,locked_legacy_loss_replay,4,0.5192972421646118,0.5053265690803528,0.5024932026863098
a1,locked_legacy_shape_normalized,0,0.5314921140670776,0.5025555491447449,0.49945732951164246
a1,locked_legacy_shape_normalized,1,0.5077744722366333,0.5071071982383728,0.49902039766311646
a1,locked_legacy_shape_normalized,2,0.5011022686958313,0.5058815479278564,0.5004590749740601
a1,locked_legacy_shape_normalized,3,0.5160999298095703,0.5021533370018005,0.4981832802295685
a1,locked_legacy_shape_normalized,4,0.5191898941993713,0.505354642868042,0.5024680495262146
a1,locked_uniform_legacy_scale,0,0.5320612788200378,0.5025434494018555,0.4991808533668518
a1,locked_uniform_legacy_scale,1,0.50830078125,0.5070866942405701,0.4988960325717926
a1,locked_uniform_legacy_scale,2,0.5013939738273621,0.5058616995811462,0.5003998279571533
a1,locked_uniform_legacy_scale,3,0.5165791511535645,0.5021518468856812,0.4980371296405792
a1,locked_uniform_legacy_scale,4,0.5192569494247437,0.5053319334983826,0.5023676753044128
a1,locked_unweighted,0,0.5315278768539429,0.5025580525398254,0.49942848086357117
a1,locked_unweighted,1,0.5078550577163696,0.5071040391921997,0.49898895621299744
a1,locked_unweighted,2,0.5011043548583984,0.5058792233467102,0.5004235506057739
a1,locked_unweighted,3,0.5159717798233032,0.50215083360672,0.49816620349884033
a1,locked_unweighted,4,0.5191713571548462,0.5053578019142151,0.5024247169494629
p22,locked_asr_hvg_legacy_scale_diagnostic,0,0.6406694054603577,0.7860416769981384,0.7474144697189331
p22,locked_asr_hvg_legacy_scale_diagnostic,1,0.5812753438949585,0.8027929067611694,0.7533689141273499
p22,locked_asr_hvg_legacy_scale_diagnostic,2,0.6003021597862244,0.8226495385169983,0.7698317170143127
p22,locked_asr_hvg_legacy_scale_diagnostic,3,0.6601110100746155,0.7821629643440247,0.7575437426567078
p22,locked_asr_hvg_legacy_scale_diagnostic,4,0.59648197889328,0.8069319725036621,0.7562832236289978
p22,locked_legacy_loss_replay,0,0.6482174396514893,0.7856330275535583,0.748075008392334
p22,locked_legacy_loss_replay,1,0.586903989315033,0.8027475476264954,0.7536302804946899
p22,locked_legacy_loss_replay,2,0.6084251403808594,0.8210437893867493,0.7699558138847351
p22,locked_legacy_loss_replay,3,0.6683369278907776,0.7812451124191284,0.7578145265579224
p22,locked_legacy_loss_replay,4,0.6033516526222229,0.806713342666626,0.7568721771240234
p22,locked_legacy_shape_normalized,0,0.6261133551597595,0.7887914180755615,0.7411932945251465
p22,locked_legacy_shape_normalized,1,0.5670683979988098,0.8057070970535278,0.7479971051216125
p22,locked_legacy_shape_normalized,2,0.5865561962127686,0.8249441981315613,0.7643712162971497
p22,locked_legacy_shape_normalized,3,0.6459324359893799,0.7840287685394287,0.75089031457901
p22,locked_legacy_shape_normalized,4,0.5769287943840027,0.810154139995575,0.7529035210609436
p22,locked_uniform_legacy_scale,0,0.6406822204589844,0.7861900925636292,0.7475481033325195
p22,locked_uniform_legacy_scale,1,0.5813655257225037,0.802847683429718,0.7535713911056519
p22,locked_uniform_legacy_scale,2,0.6003515124320984,0.8227899074554443,0.770133912563324
p22,locked_uniform_legacy_scale,3,0.6601048111915588,0.7822725176811218,0.7578018307685852
p22,locked_uniform_legacy_scale,4,0.5967737436294556,0.8071046471595764,0.7565618753433228
p22,locked_unweighted,0,0.6245640516281128,0.7887752056121826,0.7412238121032715
p22,locked_unweighted,1,0.5663268566131592,0.8055689334869385,0.7481716275215149
p22,locked_unweighted,2,0.5849378705024719,0.8251157402992249,0.7641986012458801
p22,locked_unweighted,3,0.6437779068946838,0.7842395305633545,0.7510597705841064
p22,locked_unweighted,4,0.5752627849578857,0.8102667331695557,0.7528848648071289
placenta,locked_asr_hvg_legacy_scale_diagnostic,0,0.6790949106216431,0.499485582113266,0.43530958890914917
placenta,locked_asr_hvg_legacy_scale_diagnostic,1,0.6545488238334656,0.4976382553577423,0.4248582422733307
placenta,locked_asr_hvg_legacy_scale_diagnostic,2,0.6687479019165039,0.4983784556388855,0.43376821279525757
placenta,locked_asr_hvg_legacy_scale_diagnostic,3,0.7055888772010803,0.49970415234565735,0.42460107803344727
placenta,locked_asr_hvg_legacy_scale_diagnostic,4,0.7053574919700623,0.497789591550827,0.4370100200176239
placenta,locked_legacy_loss_replay,0,0.6936859488487244,0.4995691478252411,0.43579086661338806
placenta,locked_legacy_loss_replay,1,0.6741355657577515,0.4976852834224701,0.4247211515903473
placenta,locked_legacy_loss_replay,2,0.6861369013786316,0.4984508454799652,0.43431776762008667
