dataset,checkpoint,block,pair_kind,left,right,family,tensor,raw_max_abs,relative_l2,scaled_max
a1,0,1,within_legacy,L1,L2,outputs,emb_latent_omics1,2.384185791015625e-07,2.215415591389741e-08,1.0822864556828588e-07
a1,0,1,within_legacy,L1,L2,outputs,emb_latent_omics2,4.76837158203125e-07,2.2858639566569132e-08,1.0500912424280546e-07
a1,0,1,within_legacy,L1,L2,outputs,emb_latent_combined,4.76837158203125e-07,3.7469562574911645e-08,1.9711125570316779e-07
a1,0,1,within_legacy,L1,L2,outputs,emb_recon_omics1,5.960464477539063e-08,3.939316325328274e-08,5.960464477539063e-08
a1,0,1,within_legacy,L1,L2,outputs,emb_recon_omics2,2.384185791015625e-07,3.7738054111452755e-08,1.1457105513525801e-07
a1,0,1,within_legacy,L1,L2,outputs,emb_latent_omics1_across_recon,2.384185791015625e-07,4.23994439847766e-08,1.4924106812727905e-07
a1,0,1,within_legacy,L1,L2,outputs,emb_latent_omics2_across_recon,1.1920928955078125e-07,5.1003403790969375e-08,9.646573657618984e-08
a1,0,1,within_legacy,L1,L2,outputs,alpha_omics1,1.1920928955078125e-07,1.6887323329469613e-08,1.1920928955078125e-07
a1,0,1,within_legacy,L1,L2,outputs,alpha_omics2,1.1920928955078125e-07,1.646283234688565e-08,1.1920928955078125e-07
a1,0,1,within_legacy,L1,L2,outputs,alpha,1.1920928955078125e-07,1.875635916122285e-08,1.1920928955078125e-07
a1,0,1,within_legacy,L1,L2,losses,rna,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,losses,mod2,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,losses,corr1,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,losses,corr2,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,losses,total,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,gradients,encoder_omics1.weight,7.450580596923828e-09,5.08656539906878e-08,7.450580596923828e-09
a1,0,1,within_legacy,L1,L2,gradients,decoder_omics1.weight,3.725290298461914e-09,4.546286416973801e-08,3.725290298461914e-09
a1,0,1,within_legacy,L1,L2,gradients,encoder_omics2.weight,2.9802322387695312e-08,5.176627876078773e-08,2.9802322387695312e-08
a1,0,1,within_legacy,L1,L2,gradients,decoder_omics2.weight,7.450580596923828e-09,4.755953343526209e-08,7.450580596923828e-09
a1,0,1,within_legacy,L1,L2,gradients,atten_omics1.w_omega,5.820766091346741e-10,1.7401247372854228e-07,5.820766091346741e-10
a1,0,1,within_legacy,L1,L2,gradients,atten_omics1.u_omega,9.313225746154785e-10,1.4655189983796422e-07,9.313225746154785e-10
a1,0,1,within_legacy,L1,L2,gradients,atten_omics2.w_omega,7.450580596923828e-09,1.0308723972182245e-07,7.450580596923828e-09
a1,0,1,within_legacy,L1,L2,gradients,atten_omics2.u_omega,7.450580596923828e-09,9.744191372647904e-08,7.450580596923828e-09
a1,0,1,within_legacy,L1,L2,gradients,atten_cross.w_omega,1.3969838619232178e-09,7.635731501267274e-08,1.3969838619232178e-09
a1,0,1,within_legacy,L1,L2,gradients,atten_cross.u_omega,1.862645149230957e-09,5.7002052710518956e-08,1.862645149230957e-09
a1,0,1,within_legacy,L1,L2,parameters,encoder_omics1.weight,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,parameters,decoder_omics1.weight,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,parameters,encoder_omics2.weight,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,parameters,decoder_omics2.weight,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,parameters,atten_omics1.w_omega,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,parameters,atten_omics1.u_omega,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,parameters,atten_omics2.w_omega,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,parameters,atten_omics2.u_omega,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,parameters,atten_cross.w_omega,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,parameters,atten_cross.u_omega,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,encoder_omics1.weight:step,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,encoder_omics1.weight:exp_avg,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,encoder_omics1.weight:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,decoder_omics1.weight:step,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,decoder_omics1.weight:exp_avg,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,decoder_omics1.weight:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,encoder_omics2.weight:step,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,encoder_omics2.weight:exp_avg,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,encoder_omics2.weight:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,decoder_omics2.weight:step,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,decoder_omics2.weight:exp_avg,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,decoder_omics2.weight:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics1.w_omega:step,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics1.w_omega:exp_avg,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics1.w_omega:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics1.u_omega:step,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics1.u_omega:exp_avg,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics1.u_omega:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics2.w_omega:step,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics2.w_omega:exp_avg,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics2.w_omega:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics2.u_omega:step,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics2.u_omega:exp_avg,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_omics2.u_omega:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_cross.w_omega:step,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_cross.w_omega:exp_avg,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_cross.w_omega:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_cross.u_omega:step,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_cross.u_omega:exp_avg,0.0,0.0,0.0
a1,0,1,within_legacy,L1,L2,adam,atten_cross.u_omega:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,outputs,emb_latent_omics1,2.384185791015625e-07,2.3151860892842103e-08,1.0822864556828588e-07
a1,0,1,within_generalized,G1,G2,outputs,emb_latent_omics2,7.152557373046875e-07,2.1963291965892822e-08,1.575136863642082e-07
a1,0,1,within_generalized,G1,G2,outputs,emb_latent_combined,4.76837158203125e-07,3.7497746986976867e-08,1.9711125570316779e-07
a1,0,1,within_generalized,G1,G2,outputs,emb_recon_omics1,5.960464477539063e-08,3.9525159273291924e-08,5.960464477539063e-08
a1,0,1,within_generalized,G1,G2,outputs,emb_recon_omics2,2.384185791015625e-07,3.785065402968293e-08,1.1457105513525801e-07
a1,0,1,within_generalized,G1,G2,outputs,emb_latent_omics1_across_recon,2.384185791015625e-07,4.079970382642117e-08,1.4924106812727905e-07
a1,0,1,within_generalized,G1,G2,outputs,emb_latent_omics2_across_recon,1.1920928955078125e-07,5.146289648429148e-08,9.646573657618984e-08
a1,0,1,within_generalized,G1,G2,outputs,alpha_omics1,1.1920928955078125e-07,1.7154429136237054e-08,1.1920928955078125e-07
a1,0,1,within_generalized,G1,G2,outputs,alpha_omics2,1.1920928955078125e-07,1.7032298828761244e-08,1.1920928955078125e-07
a1,0,1,within_generalized,G1,G2,outputs,alpha,1.1920928955078125e-07,1.8986093685941265e-08,1.1920928955078125e-07
a1,0,1,within_generalized,G1,G2,losses,rna,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,losses,mod2,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,losses,corr1,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,losses,corr2,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,losses,total,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,gradients,encoder_omics1.weight,7.450580596923828e-09,5.0871671317551035e-08,7.450580596923828e-09
a1,0,1,within_generalized,G1,G2,gradients,decoder_omics1.weight,3.725290298461914e-09,4.449634475052688e-08,3.725290298461914e-09
a1,0,1,within_generalized,G1,G2,gradients,encoder_omics2.weight,2.9802322387695312e-08,6.086997791785595e-08,2.9802322387695312e-08
a1,0,1,within_generalized,G1,G2,gradients,decoder_omics2.weight,7.450580596923828e-09,3.8979096996892814e-08,7.450580596923828e-09
a1,0,1,within_generalized,G1,G2,gradients,atten_omics1.w_omega,5.820766091346741e-10,1.3709860669716431e-07,5.820766091346741e-10
a1,0,1,within_generalized,G1,G2,gradients,atten_omics1.u_omega,4.656612873077393e-10,8.302580144653945e-08,4.656612873077393e-10
a1,0,1,within_generalized,G1,G2,gradients,atten_omics2.w_omega,9.313225746154785e-09,1.0827657605385105e-07,9.313225746154785e-09
a1,0,1,within_generalized,G1,G2,gradients,atten_omics2.u_omega,7.450580596923828e-09,7.241523432460486e-08,7.450580596923828e-09
a1,0,1,within_generalized,G1,G2,gradients,atten_cross.w_omega,1.3969838619232178e-09,7.670959309155847e-08,1.3969838619232178e-09
a1,0,1,within_generalized,G1,G2,gradients,atten_cross.u_omega,1.862645149230957e-09,6.455880150990569e-08,1.862645149230957e-09
a1,0,1,within_generalized,G1,G2,parameters,encoder_omics1.weight,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,parameters,decoder_omics1.weight,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,parameters,encoder_omics2.weight,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,parameters,decoder_omics2.weight,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,parameters,atten_omics1.w_omega,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,parameters,atten_omics1.u_omega,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,parameters,atten_omics2.w_omega,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,parameters,atten_omics2.u_omega,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,parameters,atten_cross.w_omega,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,parameters,atten_cross.u_omega,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,adam,encoder_omics1.weight:step,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,adam,encoder_omics1.weight:exp_avg,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,adam,encoder_omics1.weight:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,adam,decoder_omics1.weight:step,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,adam,decoder_omics1.weight:exp_avg,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,adam,decoder_omics1.weight:exp_avg_sq,0.0,0.0,0.0
a1,0,1,within_generalized,G1,G2,adam,encoder_omics2.weight:step,0.0,0.0,0.0
