dataset,checkpoint,family,metric,within_count,cross_count,within_q95,within_median,cross_q95,cross_median,eta,E95,Emed,margin,q95_ratio,median_ratio,finite,pass
a1,0,adam,relative_l2,16,32,0.0,0.0,0.0,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0,0.0,True,True
a1,0,adam,scaled_max,16,32,0.0,0.0,0.0,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0,0.0,True,True
a1,0,gradients,relative_l2,16,32,1.785611651235031e-07,1.3723985510990404e-07,1.8131879070365893e-07,1.38951947119243e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.047531633070219965,0.03642541922562684,True,True
a1,0,gradients,scaled_max,16,32,5.960464477539063e-08,2.9802322387695312e-08,5.960464477539063e-08,2.9802322387695312e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.015625,0.0078125,True,True
a1,0,losses,relative_l2,16,32,1.1301507609813641e-07,0.0,1.1301507609813641e-07,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.02962622410866987,0.0,True,True
a1,0,losses,scaled_max,16,32,1.1301507609813641e-07,0.0,1.1301507609813641e-07,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.02962622410866987,0.0,True,True
a1,0,outputs,relative_l2,16,32,5.132725752836376e-08,5.053815084299505e-08,5.1378720391165066e-08,5.0468694498090686e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.013468623278221575,0.013230065450507485,True,True
a1,0,outputs,scaled_max,16,32,1.9711125570316779e-07,1.8270191094632576e-07,1.9711125570316779e-07,1.575136863642082e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.051671533015051216,0.04129126779825899,True,True
a1,0,parameters,relative_l2,16,32,0.0,0.0,0.0,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0,0.0,True,True
a1,0,parameters,scaled_max,16,32,0.0,0.0,0.0,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0,0.0,True,True
a1,1,adam,relative_l2,16,32,3.015884297752145e-07,2.473047325883574e-07,3.0495828872175824e-07,2.3181578286085496e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.07994298563867659,0.06076911658227596,True,True
a1,1,adam,scaled_max,16,32,7.450580596923828e-09,3.725290298461914e-09,7.450580596923828e-09,3.725290298461914e-09,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.001953125,0.0009765625,True,True
a1,1,gradients,relative_l2,16,32,1.7724811979364465e-07,1.511356890246385e-07,1.8130297491234324e-07,1.5586659486432405e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.04752748705542131,0.040859492644113364,True,True
a1,1,gradients,scaled_max,16,32,5.960464477539063e-08,2.9802322387695312e-08,5.960464477539063e-08,2.9802322387695312e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.015625,0.0078125,True,True
