dataset,metric,contrast,seed,paired_delta
a1,ari,uniform_scale_effect,0,0.002339099916881776
a1,ari,legacy_shape_effect,0,0.0003952935577770933
a1,ari,scale_at_legacy_shape,0,0.007779848135136991
a1,ari,legacy_shape_at_full_scale,0,0.005836041776032308
a1,ari,factorial_scale_main,0,0.0050594740260093835
a1,ari,factorial_shape_main,0,0.0031156676669047007
a1,ari,interaction,0,0.005440748218255215
a1,ari,asr_vs_uniform_same_scale,0,0.0027141697401379117
a1,ari,asr_vs_legacy_same_scale,0,-0.0031218720358943963
a1,ari,uniform_scale_effect,1,-0.00221986979627925
a1,ari,legacy_shape_effect,1,-0.002381643078593343
a1,ari,scale_at_legacy_shape,1,-0.01660045959551132
a1,ari,legacy_shape_at_full_scale,1,-0.01676223287782541
a1,ari,factorial_scale_main,1,-0.009410164695895284
a1,ari,factorial_shape_main,1,-0.009571937978209377
a1,ari,interaction,1,-0.014380589799232069
a1,ari,asr_vs_uniform_same_scale,1,-0.006922649063550196
a1,ari,asr_vs_legacy_same_scale,1,0.009839583814275216
a1,ari,uniform_scale_effect,2,0.010522965426590536
a1,ari,legacy_shape_effect,2,-6.831808832319375e-06
a1,ari,scale_at_legacy_shape,2,-0.02234778405552329
a1,ari,legacy_shape_at_full_scale,2,-0.032877581290946145
a1,ari,factorial_scale_main,2,-0.005912409314466377
a1,ari,factorial_shape_main,2,-0.016442206549889232
a1,ari,interaction,2,-0.032870749482113826
a1,ari,asr_vs_uniform_same_scale,2,-0.04019084396237721
a1,ari,asr_vs_legacy_same_scale,2,-0.0073132626714310645
a1,ari,uniform_scale_effect,3,-0.04048000119581199
a1,ari,legacy_shape_effect,3,0.0002587107099955577
a1,ari,scale_at_legacy_shape,3,-0.04592041852943851
a1,ari,legacy_shape_at_full_scale,3,-0.005181706623630961
a1,ari,factorial_scale_main,3,-0.04320020986262525
a1,ari,factorial_shape_main,3,-0.0024614979568177014
a1,ari,interaction,3,-0.005440417333626518
a1,ari,asr_vs_uniform_same_scale,3,0.008127067573363733
a1,ari,asr_vs_legacy_same_scale,3,0.013308774196994694
a1,ari,uniform_scale_effect,4,0.011857890081114542
a1,ari,legacy_shape_effect,4,0.003893283182206553
a1,ari,scale_at_legacy_shape,4,0.028667247996081585
a1,ari,legacy_shape_at_full_scale,4,0.020702641097173596
a1,ari,factorial_scale_main,4,0.020262569038598063
a1,ari,factorial_shape_main,4,0.012297962139690075
a1,ari,interaction,4,0.016809357914967044
