dataset,variant,seed,domain,support,hungarian_f1
a1,locked_asr_hvg_legacy_scale_diagnostic,0,capsule,204,0.3417366946778712
a1,locked_asr_hvg_legacy_scale_diagnostic,0,cortex,753,0.5568917668825162
a1,locked_asr_hvg_legacy_scale_diagnostic,0,follicle,60,0.45669291338582674
a1,locked_asr_hvg_legacy_scale_diagnostic,0,hilum,23,0.15384615384615385
a1,locked_asr_hvg_legacy_scale_diagnostic,0,medulla cords,1188,0.5473568281938326
a1,locked_asr_hvg_legacy_scale_diagnostic,0,medulla sinuses,797,0.4749303621169917
a1,locked_asr_hvg_legacy_scale_diagnostic,0,medulla vessels,57,0.06405693950177936
a1,locked_asr_hvg_legacy_scale_diagnostic,0,pericapsular adipose tissue,320,0.5466666666666666
a1,locked_asr_hvg_legacy_scale_diagnostic,0,subcapsular sinus,74,0.0686427457098284
a1,locked_asr_hvg_legacy_scale_diagnostic,0,trabeculae,8,0.0
a1,locked_asr_hvg_legacy_scale_diagnostic,1,capsule,204,0.3619631901840491
a1,locked_asr_hvg_legacy_scale_diagnostic,1,cortex,753,0.5843694493783305
a1,locked_asr_hvg_legacy_scale_diagnostic,1,follicle,60,0.43866171003717475
a1,locked_asr_hvg_legacy_scale_diagnostic,1,hilum,23,0.15813953488372096
a1,locked_asr_hvg_legacy_scale_diagnostic,1,medulla cords,1188,0.4924892703862661
a1,locked_asr_hvg_legacy_scale_diagnostic,1,medulla sinuses,797,0.4571877454831108
a1,locked_asr_hvg_legacy_scale_diagnostic,1,medulla vessels,57,0.011428571428571429
a1,locked_asr_hvg_legacy_scale_diagnostic,1,pericapsular adipose tissue,320,0.5894736842105263
a1,locked_asr_hvg_legacy_scale_diagnostic,1,subcapsular sinus,74,0.0794392523364486
a1,locked_asr_hvg_legacy_scale_diagnostic,1,trabeculae,8,0.04794520547945205
a1,locked_asr_hvg_legacy_scale_diagnostic,2,capsule,204,0.36898395721925137
a1,locked_asr_hvg_legacy_scale_diagnostic,2,cortex,753,0.6441821247892074
a1,locked_asr_hvg_legacy_scale_diagnostic,2,follicle,60,0.40714285714285714
a1,locked_asr_hvg_legacy_scale_diagnostic,2,hilum,23,0.003738317757009346
a1,locked_asr_hvg_legacy_scale_diagnostic,2,medulla cords,1188,0.4093711467324291
a1,locked_asr_hvg_legacy_scale_diagnostic,2,medulla sinuses,797,0.4835900870730074
a1,locked_asr_hvg_legacy_scale_diagnostic,2,medulla vessels,57,0.06521739130434781
a1,locked_asr_hvg_legacy_scale_diagnostic,2,pericapsular adipose tissue,320,0.7689594356261023
a1,locked_asr_hvg_legacy_scale_diagnostic,2,subcapsular sinus,74,0.2523364485981308
a1,locked_asr_hvg_legacy_scale_diagnostic,2,trabeculae,8,0.0
a1,locked_asr_hvg_legacy_scale_diagnostic,3,capsule,204,0.3333333333333333
a1,locked_asr_hvg_legacy_scale_diagnostic,3,cortex,753,0.5446348061316502
a1,locked_asr_hvg_legacy_scale_diagnostic,3,follicle,60,0.45967741935483875
a1,locked_asr_hvg_legacy_scale_diagnostic,3,hilum,23,0.010126582278481015
a1,locked_asr_hvg_legacy_scale_diagnostic,3,medulla cords,1188,0.46162528216704285
a1,locked_asr_hvg_legacy_scale_diagnostic,3,medulla sinuses,797,0.5856019358741681
a1,locked_asr_hvg_legacy_scale_diagnostic,3,medulla vessels,57,0.15025906735751296
a1,locked_asr_hvg_legacy_scale_diagnostic,3,pericapsular adipose tissue,320,0.6742424242424242
a1,locked_asr_hvg_legacy_scale_diagnostic,3,subcapsular sinus,74,0.30409356725146197
a1,locked_asr_hvg_legacy_scale_diagnostic,3,trabeculae,8,0.043478260869565216
a1,locked_asr_hvg_legacy_scale_diagnostic,4,capsule,204,0.3185378590078329
a1,locked_asr_hvg_legacy_scale_diagnostic,4,cortex,753,0.6317539484621778
a1,locked_asr_hvg_legacy_scale_diagnostic,4,follicle,60,0.4249084249084249
a1,locked_asr_hvg_legacy_scale_diagnostic,4,hilum,23,0.03791469194312796
a1,locked_asr_hvg_legacy_scale_diagnostic,4,medulla cords,1188,0.37924865831842575
a1,locked_asr_hvg_legacy_scale_diagnostic,4,medulla sinuses,797,0.4229651162790698
a1,locked_asr_hvg_legacy_scale_diagnostic,4,medulla vessels,57,0.034912718204488775
a1,locked_asr_hvg_legacy_scale_diagnostic,4,pericapsular adipose tissue,320,0.5859872611464968
a1,locked_asr_hvg_legacy_scale_diagnostic,4,subcapsular sinus,74,0.07220216606498193
a1,locked_asr_hvg_legacy_scale_diagnostic,4,trabeculae,8,0.0
a1,locked_legacy_loss_replay,0,capsule,204,0.3652173913043478
a1,locked_legacy_loss_replay,0,cortex,753,0.5721973094170404
a1,locked_legacy_loss_replay,0,follicle,60,0.5112107623318386
a1,locked_legacy_loss_replay,0,hilum,23,0.16326530612244897
a1,locked_legacy_loss_replay,0,medulla cords,1188,0.5556680161943319
a1,locked_legacy_loss_replay,0,medulla sinuses,797,0.4847192608386639
a1,locked_legacy_loss_replay,0,medulla vessels,57,0.024024024024024024
a1,locked_legacy_loss_replay,0,pericapsular adipose tissue,320,0.5523385300668152
a1,locked_legacy_loss_replay,0,subcapsular sinus,74,0.0906344410876133
a1,locked_legacy_loss_replay,0,trabeculae,8,0.0
a1,locked_legacy_loss_replay,1,capsule,204,0.3738872403560831
a1,locked_legacy_loss_replay,1,cortex,753,0.611541774332472
a1,locked_legacy_loss_replay,1,follicle,60,0.4249084249084249
a1,locked_legacy_loss_replay,1,hilum,23,0.2905982905982906
a1,locked_legacy_loss_replay,1,medulla cords,1188,0.3841201716738198
a1,locked_legacy_loss_replay,1,medulla sinuses,797,0.5019710906701709
a1,locked_legacy_loss_replay,1,medulla vessels,57,0.012176560121765602
a1,locked_legacy_loss_replay,1,pericapsular adipose tissue,320,0.5970772442588728
a1,locked_legacy_loss_replay,1,subcapsular sinus,74,0.04819277108433735
a1,locked_legacy_loss_replay,1,trabeculae,8,0.0
a1,locked_legacy_loss_replay,2,capsule,204,0.37634408602150543
a1,locked_legacy_loss_replay,2,cortex,753,0.6201550387596899
a1,locked_legacy_loss_replay,2,follicle,60,0.41155234657039713
a1,locked_legacy_loss_replay,2,hilum,23,0.0037950664136622387
a1,locked_legacy_loss_replay,2,medulla cords,1188,0.46549707602339174
a1,locked_legacy_loss_replay,2,medulla sinuses,797,0.49289099526066354
a1,locked_legacy_loss_replay,2,medulla vessels,57,0.05088062622309198
a1,locked_legacy_loss_replay,2,pericapsular adipose tissue,320,0.7689594356261023
a1,locked_legacy_loss_replay,2,subcapsular sinus,74,0.24770642201834858
a1,locked_legacy_loss_replay,2,trabeculae,8,0.0
a1,locked_legacy_loss_replay,3,capsule,204,0.36417910447761187
a1,locked_legacy_loss_replay,3,cortex,753,0.532347504621072
a1,locked_legacy_loss_replay,3,follicle,60,0.46825396825396826
a1,locked_legacy_loss_replay,3,hilum,23,0.0923076923076923
a1,locked_legacy_loss_replay,3,medulla cords,1188,0.5040189125295508
a1,locked_legacy_loss_replay,3,medulla sinuses,797,0.44548286604361376
a1,locked_legacy_loss_replay,3,medulla vessels,57,0.08241758241758242
a1,locked_legacy_loss_replay,3,pericapsular adipose tissue,320,0.6525096525096524
a1,locked_legacy_loss_replay,3,subcapsular sinus,74,0.2360248447204969
a1,locked_legacy_loss_replay,3,trabeculae,8,0.0
a1,locked_legacy_loss_replay,4,capsule,204,0.31770833333333337
a1,locked_legacy_loss_replay,4,cortex,753,0.6687402799377916
a1,locked_legacy_loss_replay,4,follicle,60,0.4199288256227757
a1,locked_legacy_loss_replay,4,hilum,23,0.0967741935483871
a1,locked_legacy_loss_replay,4,medulla cords,1188,0.45864661654135336
a1,locked_legacy_loss_replay,4,medulla sinuses,797,0.4259927797833934
a1,locked_legacy_loss_replay,4,medulla vessels,57,0.027777777777777776
a1,locked_legacy_loss_replay,4,pericapsular adipose tissue,320,0.5927505330490405
a1,locked_legacy_loss_replay,4,subcapsular sinus,74,0.08170515097690942
a1,locked_legacy_loss_replay,4,trabeculae,8,0.0
a1,locked_legacy_shape_normalized,0,capsule,204,0.3526170798898072
a1,locked_legacy_shape_normalized,0,cortex,753,0.7062499999999999
a1,locked_legacy_shape_normalized,0,follicle,60,0.41428571428571426
a1,locked_legacy_shape_normalized,0,hilum,23,0.14592274678111586
a1,locked_legacy_shape_normalized,0,medulla cords,1188,0.45698324022346365
a1,locked_legacy_shape_normalized,0,medulla sinuses,797,0.4544117647058823
