dataset,seed,partition_agreement_ari,ari_difference,ari_absolute_difference,nmi_difference,nmi_absolute_difference,ami_difference,ami_absolute_difference,fmi_difference,fmi_absolute_difference,homogeneity_difference,homogeneity_absolute_difference,v_measure_difference,v_measure_absolute_difference,hungarian_macro_f1_difference,hungarian_macro_f1_absolute_difference,hungarian_weighted_f1_difference,hungarian_weighted_f1_absolute_difference,hungarian_balanced_accuracy_difference,hungarian_balanced_accuracy_absolute_difference,spatial_neighbor_agreement_difference,spatial_neighbor_agreement_absolute_difference,spatial_cluster_moran_mean_difference,spatial_cluster_moran_mean_absolute_difference,embedding_silhouette_difference,embedding_silhouette_absolute_difference,embedding_davies_bouldin_difference,embedding_davies_bouldin_absolute_difference,embedding_relative_l2,individual_warning,dataset_mean_ari_difference,dataset_mean_nmi_difference,mean_warning
a1,0,0.9979716631432776,-4.538957191096982e-05,4.538957191096982e-05,-3.0809332006276335e-05,3.0809332006276335e-05,-3.05691436076061e-05,3.05691436076061e-05,-6.467742252441733e-05,6.467742252441733e-05,1.2281511064859973e-05,1.2281511064859973e-05,-3.0809332006331847e-05,3.0809332006331847e-05,1.9910057265759562e-05,1.9910057265759562e-05,7.63782299806337e-05,7.63782299806337e-05,0.0,0.0,0.0005899987243270788,0.0005899987243270788,0.0007394436168925989,0.0007394436168925989,0.00017968565225601196,0.00017968565225601196,-0.000731322269778456,0.000731322269778456,,False,-0.006284870524069031,0.0008590529409922664,False
a1,1,0.6456055358559561,-0.014686109086577914,0.014686109086577914,-2.921219694240751e-05,2.921219694240751e-05,-2.0914163485041826e-05,2.0914163485041826e-05,-0.012867247253883496,0.012867247253883496,0.0007804786011883502,0.0007804786011883502,-2.921219694246302e-05,2.921219694246302e-05,-0.01838085911357784,0.01838085911357784,-0.04121196366565805,0.04121196366565805,-0.01854040377824756,0.01854040377824756,-0.05281285878300801,0.05281285878300801,-0.051331072736214234,0.051331072736214234,0.005765400826931,0.005765400826931,0.09021096097083103,0.09021096097083103,,False,-0.006284870524069031,0.0008590529409922664,False
a1,2,0.6736742783591322,-0.019109456664148983,0.019109456664148983,0.004847177455571838,0.004847177455571838,0.004913864173641702,0.004913864173641702,-0.018445304794313278,0.018445304794313278,0.0094577813518405,0.0094577813518405,0.004847177455571838,0.004847177455571838,-0.010924268627719669,0.010924268627719669,-0.027195775013179824,0.027195775013179824,-0.0009924438867267016,0.0009924438867267016,-0.021463196836331244,0.021463196836331244,-0.005090545308722327,0.005090545308722327,-0.020584121346473694,0.020584121346473694,0.40741040922461425,0.40741040922461425,,False,-0.006284870524069031,0.0008590529409922664,False
a1,3,0.5636909497806615,0.0026465451529955053,0.0026465451529955053,-0.0002652715750510737,0.0002652715750510737,-0.00038009241942787986,0.00038009241942787986,0.01016258366271372,0.01016258366271372,-0.012228952656851144,0.012228952656851144,-0.0002652715750510737,0.0002652715750510737,0.022698013613971335,0.022698013613971335,0.011692003621381009,0.011692003621381009,-0.05193223113225082,0.05193223113225082,0.037664242888123534,0.037664242888123534,0.021865540373405046,0.021865540373405046,-0.011426225304603577,0.011426225304603577,-0.23243342452523796,0.23243342452523796,,False,-0.006284870524069031,0.0008590529409922664,False
a1,4,0.9993110103965027,-0.0002299424507027914,0.0002299424507027914,-0.0002266196466107484,0.0002266196466107484,-0.000228132805594361,0.000228132805594361,-0.00019327285083442503,0.00019327285083442503,-0.00026043449800577934,0.00026043449800577934,-0.0002266196466107484,0.0002266196466107484,-4.6541495076379835e-05,4.6541495076379835e-05,-0.00011157901443964446,0.00011157901443964446,0.0,0.0,-0.00014351320321470684,0.00014351320321470684,-0.00013831500163385968,0.00013831500163385968,0.00011999905109405518,0.00011999905109405518,-0.00026932315467909085,0.00026932315467909085,,False,-0.006284870524069031,0.0008590529409922664,False
placenta,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.20975882223729e-08,9.20975882223729e-08,,False,0.0,0.0,False
placenta,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4901161193847656e-08,1.4901161193847656e-08,5.192774610307538e-08,5.192774610307538e-08,,False,0.0,0.0,False
placenta,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82692508185778e-09,4.82692508185778e-09,,False,0.0,0.0,False
placenta,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7791382589393834e-08,1.7791382589393834e-08,,False,0.0,0.0,False
placenta,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5836751344220374e-08,3.5836751344220374e-08,,False,0.0,0.0,False
p22,0,0.9969660727558676,2.488215825968698e-05,2.488215825968698e-05,0.00012069946822568234,0.00012069946822568234,0.00012092994941792501,0.00012092994941792501,1.2854403133699677e-05,1.2854403133699677e-05,0.00013096346688523663,0.00013096346688523663,0.00012069946822568234,0.00012069946822568234,0.00011171969554468753,0.00011171969554468753,-4.588954132633827e-05,4.588954132633827e-05,8.63444265685187e-05,8.63444265685187e-05,-0.0005097324923879487,0.0005097324923879487,-0.00041700077243689293,0.00041700077243689293,-5.574524402618408e-05,5.574524402618408e-05,-0.00019653699955224369,0.00019653699955224369,,False,-0.0034246415799275565,0.002274285559379008,False
p22,1,0.996166577559156,-0.0005070023852444816,0.0005070023852444816,-0.00042607057327248565,0.00042607057327248565,-0.000426868782254175,0.000426868782254175,-0.0004121297320070494,0.0004121297320070494,-0.00046777778874274034,0.00046777778874274034,-0.00042607057327237463,0.00042607057327237463,-0.0005259260319815384,0.0005259260319815384,-0.0004993516605239501,0.0004993516605239501,-0.0006058456033694037,0.0006058456033694037,-0.0001699108307959829,0.0001699108307959829,-0.00046804385821763717,0.00046804385821763717,-4.9740076065063477e-05,4.9740076065063477e-05,-4.114844982305854e-05,4.114844982305854e-05,,False,-0.0034246415799275565,0.002274285559379008,False
p22,2,0.9946170385803677,-0.00010773078806658454,0.00010773078806658454,-0.000371165713950683,0.000371165713950683,-0.0003715594875133288,0.0003715594875133288,-0.00017584083565214126,0.00017584083565214126,-0.00019114014846355332,0.00019114014846355332,-0.000371165713950683,0.000371165713950683,-0.00033200605641314773,0.00033200605641314773,-0.0005319739179817651,0.0005319739179817651,-0.000251585889003314,0.000251585889003314,0.0003670073945193364,0.0003670073945193364,0.0003974298371630658,0.0003974298371630658,0.0003334730863571167,0.0003334730863571167,0.0025354509997770336,0.0025354509997770336,,False,-0.0034246415799275565,0.002274285559379008,False
