panel_index,canonical_identifier,P10S1_raw_target,P10S2_raw_target,P10S3_raw_target,ensembl_gene_id,chrom,start_1based,end_1based,strand
0,Bcl11b,CTIP2,CTIP2,CTIP2,ENSMUSG00000048251,chr12,107910403,108003602,-
1,Bst2,CD317,CD317,CD317,ENSMUSG00000046718,chr8,71534264,71537437,-
2,Cd160,CD160,CD160,CD160,ENSMUSG00000038304,chr3,96798763,96829351,-
3,Cd163,CD163,CD163,CD163,ENSMUSG00000008845,chr6,124304651,124330527,+
4,Cd19,CD19,CD19,CD19,ENSMUSG00000030724,chr7,126408450,126414870,-
5,Cd1d1,CD1d,CD1d,CD1d,ENSMUSG00000028076,chr3,86995834,86999441,-
6,Cd200,CD200,CD200,CD200,ENSMUSG00000022661,chr16,45382135,45409053,-
7,Cd200r1,CD200R,CD200R,CD200R,ENSMUSG00000022667,chr16,44765736,44794978,+
8,Cd200r3,CD200R3,CD200R3,CD200R3,ENSMUSG00000036172,chr16,44943678,44981380,+
9,Cd22,CD22,CD22,CD22,ENSMUSG00000030577,chr7,30865402,30880342,-
10,Cd24a,CD24,CD24,CD24,ENSMUSG00000047139,chr10,43579169,43584262,+
11,Cd274,CD274,CD274,CD274,ENSMUSG00000016496,chr19,29367455,29388095,+
12,Cd38,CD38,CD38,CD38,ENSMUSG00000029084,chr5,43868809,43912375,+
13,Cd4,CD4,CD4,CD4,ENSMUSG00000023274,chr6,124864692,124888221,-
14,Cd40,CD40,CD40,CD40,ENSMUSG00000017652,chr2,165055627,165072948,+
15,Cd44,CD44,CD44,CD44,ENSMUSG00000005087,chr2,102811141,102901665,-
16,Cd48,CD48,CD48,CD48,ENSMUSG00000015355,chr1,171682009,171705258,+
17,Cd5,CD5,CD5,CD5,ENSMUSG00000024669,chr19,10718143,10738974,-
18,Cd55,CD55,CD55,CD55,ENSMUSG00000026399,chr1,130439027,130462744,-
19,Cd63,CD63,CD63,CD63,ENSMUSG00000025351,chr10,128908919,128912816,+
20,Cd68,CD68,CD68,CD68,ENSMUSG00000018774,chr11,69664213,69666153,-
21,Cd69,CD69,CD69,CD69,ENSMUSG00000030156,chr6,129267324,129275369,-
22,Cd79b,CD79b,CD79b,CD79b,ENSMUSG00000040592,chr11,106311341,106314762,-
23,Cd83,CD83,CD83,CD83,ENSMUSG00000015396,chr13,43785107,43803130,+
24,Cd86,CD86,CD86,CD86,ENSMUSG00000022901,chr16,36603869,36666081,-
25,Cd8a,CD8a,CD8a,CD8a,ENSMUSG00000053977,chr6,71373427,71379171,+
26,Cd8b1,CD8b,CD8b,CD8b,ENSMUSG00000053044,chr6,71322836,71337477,+
27,Cd9,CD9,CD9,CD9,ENSMUSG00000030342,chr6,125460266,125494791,-
28,Cd93,CD93,CD93,CD93,ENSMUSG00000027435,chr2,148436640,148443563,-
29,Clec10a,CD301a,CD301a,CD301a,ENSMUSG00000000318,chr11,70156197,70170834,+
30,Csf1r,CD115,CD115,CD115,ENSMUSG00000024621,chr18,61105572,61132149,+
31,Cx3cr1,CX3CR1,CX3CR1,CX3CR1,ENSMUSG00000052336,chr9,119901616,120068283,-
32,Dpp4,CD26,CD26,CD26,ENSMUSG00000035000,chr2,62330073,62412231,-
33,Fcgr1,CD64,CD64,CD64,ENSMUSG00000015947,chr3,96282909,96293969,-
34,Gfap,GFAP,GFAP,GFAP,ENSMUSG00000020932,chr11,102887336,102900912,-
35,Icam1,CD54,CD54,CD54,ENSMUSG00000037405,chr9,21015960,21028797,+
36,Icam2,CD102,CD102,CD102,ENSMUSG00000001029,chr11,106377656,106388075,-
37,Ighd,IgD,IgD,IgD,ENSMUSG00000104213,chr12,113406604,113416324,-
38,Il2ra,CD25,CD25,CD25,ENSMUSG00000026770,chr2,11642807,11693193,+
39,Il7r,CD127,CD127,CD127,ENSMUSG00000003882,chr15,9506161,9529876,-
40,Itga1,CD49a,CD49a,CD49a,ENSMUSG00000042284,chr13,114958079,115101964,-
41,Itga2,CD49b,CD49b,CD49b,ENSMUSG00000015533,chr13,114835916,114932041,-
